year,region,Coal.Mining_Cluster.LQ
2006,10001,0
2006,10003,0
2006,10005,0
2006,1001,0
2006,1003,0
2006,1005,0
2006,1007,0
2006,1009,0
2006,1011,0
2006,1013,0
2006,1015,0
2006,1017,0
2006,1019,0
2006,1021,0
2006,1023,0
2006,1025,0
2006,1027,0
2006,1029,0
2006,1031,0
2006,1033,0
2006,1035,0
2006,1037,0
2006,1039,0
2006,1041,0
2006,1043,0
2006,1045,0
2006,1047,0
2006,1049,0
2006,1051,0
2006,1053,0
2006,1055,0
2006,1057,0
2006,1059,0
2006,1061,0
2006,1063,0
2006,1065,0
2006,1067,0
2006,1069,0
2006,1071,0
2006,1073,0
2006,1075,0
2006,1077,0
2006,1079,0
2006,1081,0
2006,1083,0
2006,1085,0
2006,1087,0
2006,1089,0
2006,1091,0
2006,1093,9.17307171
2006,1095,0
2006,1097,0
2006,1099,0
2006,10999,0
2006,11001,0
2006,1101,0
2006,1103,0
2006,1105,0
2006,1107,0
2006,1109,0
2006,1111,0
2006,1113,0
2006,1115,0
2006,1117,0
2006,1119,0
2006,1121,0
2006,1123,0
2006,1125,0
2006,1127,0
2006,1129,0
2006,1131,0
2006,1133,0
2006,12001,0
2006,12003,0
2006,12005,0
2006,12007,0
2006,12009,0
2006,12011,0
2006,12013,0
2006,12015,0
2006,12017,0
2006,12019,0
2006,12021,0
2006,12023,0
2006,12027,0
2006,12029,0
2006,12031,0
2006,12033,0
2006,12035,0
2006,12037,0
2006,12039,0
2006,12041,0
2006,12043,0
2006,12045,0
2006,12047,0
2006,12049,0
2006,12051,0
2006,12053,0
2006,12055,0
2006,12057,0
2006,12059,0
2006,12061,0
2006,12063,0
2006,12065,0
2006,12067,0
2006,12069,0
2006,12071,0
2006,12073,0
2006,12075,0
2006,12077,0
2006,12079,0
2006,12081,0
2006,12083,0
2006,12085,0
2006,12086,0
2006,12087,0
2006,12089,0
2006,12091,0
2006,12093,0
2006,12095,0
2006,12097,0
2006,12099,0
2006,12101,0
2006,12103,0
2006,12105,0
2006,12107,0
2006,12109,0
2006,12111,0
2006,12113,0
2006,12115,0
2006,12117,0
2006,12119,0
2006,12121,0
2006,12123,0
2006,12125,0
2006,12127,0
2006,12129,0
2006,12131,0
2006,12133,0
2006,12999,0
2006,13001,0
2006,13003,0
2006,13005,0
2006,13007,0
2006,13009,0
2006,13011,0
2006,13013,0
2006,13015,0
2006,13017,0
2006,13019,0
2006,13021,0
2006,13023,0
2006,13025,0
2006,13027,0
2006,13029,0
2006,13031,0
2006,13033,0
2006,13035,0
2006,13037,0
2006,13039,0
2006,13043,0
2006,13045,0
2006,13047,0
2006,13049,0
2006,13051,0
2006,13053,0
2006,13055,0
2006,13057,0
2006,13059,0
2006,13061,0
2006,13063,0
2006,13065,0
2006,13067,0
2006,13069,0
2006,13071,0
2006,13073,0
2006,13075,0
2006,13077,0
2006,13079,0
2006,13081,0
2006,13083,0
2006,13085,0
2006,13087,0
2006,13089,0
2006,13091,0
2006,13093,0
2006,13095,0
2006,13097,0
2006,13099,0
2006,13101,0
2006,13103,0
2006,13105,0
2006,13107,0
2006,13109,0
2006,13111,0
2006,13113,0
2006,13115,0
2006,13117,0
2006,13119,0
2006,13121,0
2006,13123,0
2006,13125,0
2006,13127,0
2006,13129,0
2006,13131,0
2006,13133,0
2006,13135,0
2006,13137,0
2006,13139,0
2006,13141,0
2006,13143,0
2006,13145,0
2006,13147,0
2006,13149,0
2006,13151,0
2006,13153,0
2006,13155,0
2006,13157,0
2006,13159,0
2006,13161,0
2006,13163,0
2006,13165,0
2006,13167,0
2006,13169,0
2006,13171,0
2006,13173,0
2006,13175,0
2006,13177,0
2006,13179,0
2006,13181,0
2006,13183,0
2006,13185,0
2006,13187,0
2006,13189,0
2006,13191,0
2006,13193,0
2006,13195,0
2006,13197,0
2006,13199,0
2006,13201,0
2006,13205,0
2006,13207,0
2006,13209,0
2006,13211,0
2006,13213,0
2006,13215,0
2006,13217,0
2006,13219,0
2006,13221,0
2006,13223,0
2006,13225,0
2006,13227,0
2006,13229,0
2006,13231,0
2006,13233,0
2006,13235,0
2006,13237,0
2006,13239,0
2006,13241,0
2006,13243,0
2006,13245,0
2006,13247,0
2006,13249,0
2006,13251,0
2006,13253,0
2006,13255,0
2006,13257,0
2006,13259,0
2006,13261,0
2006,13263,0
2006,13265,0
2006,13267,0
2006,13269,0
2006,13271,0
2006,13273,0
2006,13275,0
2006,13277,0
2006,13279,0
2006,13281,0
2006,13283,0
2006,13285,0
2006,13287,0
2006,13289,0
2006,13291,0
2006,13293,0
2006,13295,0
2006,13297,0
2006,13299,0
2006,13301,0
2006,13303,0
2006,13305,0
2006,13307,0
2006,13309,0
2006,13311,0
2006,13313,0
2006,13315,0
2006,13317,0
2006,13319,0
2006,13321,0
2006,13999,0
2006,15001,0
2006,15003,0
2006,15007,0
2006,15009,0
2006,15999,0
2006,16001,0
2006,16003,0
2006,16005,0
2006,16007,0
2006,16009,0
2006,16011,0
2006,16013,0
2006,16015,0
2006,16017,0
2006,16019,0
2006,16021,0
2006,16023,0
2006,16025,0
2006,16027,0
2006,16029,0
2006,16031,0
2006,16033,0
2006,16035,0
2006,16037,NA
2006,16039,0
2006,16041,0
2006,16043,0
2006,16045,0
2006,16047,0
2006,16049,0
2006,16051,0
2006,16053,0
2006,16055,0
2006,16057,0
2006,16059,0
2006,16061,0
2006,16063,0
2006,16065,0
2006,16067,0
2006,16069,0
2006,16071,0
2006,16073,0
2006,16075,0
2006,16077,0
2006,16079,0
2006,16081,0
2006,16083,0
2006,16085,0
2006,16087,0
2006,16999,0
2006,17001,0
2006,17003,0
2006,17005,0
2006,17007,0
2006,17009,0
2006,17011,0
2006,17013,0
2006,17015,0
2006,17017,0
2006,17019,0
2006,17021,0
2006,17023,0
2006,17025,0
2006,17027,0
2006,17029,0
2006,17031,0
2006,17033,0
2006,17035,0
2006,17037,0
2006,17039,0
2006,17041,0
2006,17043,0
2006,17045,0
2006,17047,0
2006,17049,0
2006,17051,0
2006,17053,0
2006,17055,0
2006,17057,0
2006,17059,0
2006,17061,0
2006,17063,0
2006,17065,0
2006,17067,0
2006,17069,0
2006,17071,0
2006,17073,0
2006,17075,0
2006,17077,0
2006,17079,0
2006,17081,0
2006,17083,0
2006,17085,0
2006,17087,0
2006,17089,0
2006,17091,0
2006,17093,0
2006,17095,0
2006,17097,0
2006,17099,0
2006,17101,0
2006,17103,0
2006,17105,0
2006,17107,0
2006,17109,0
2006,17111,0
2006,17113,0
2006,17115,0
2006,17117,0
2006,17119,0
2006,17121,0
2006,17123,0
2006,17125,0
2006,17127,0
2006,17129,0
2006,17131,0
2006,17133,0
2006,17135,0
2006,17137,0
2006,17139,0
2006,17141,0
2006,17143,0
2006,17145,0
2006,17147,0
2006,17149,0
2006,17151,0
2006,17153,0
2006,17155,0
2006,17157,0
2006,17159,0
2006,17161,0
2006,17163,0
2006,17165,0
2006,17167,0
2006,17169,0
2006,17171,0
2006,17173,0
2006,17175,0
2006,17177,0
2006,17179,0
2006,17181,0
2006,17183,0
2006,17185,0
2006,17187,0
2006,17189,0
2006,17191,0
2006,17193,0
2006,17195,0
2006,17197,0
2006,17199,0
2006,17201,0
2006,17203,0
2006,17999,0
2006,18001,0
2006,18003,0
2006,18005,0
2006,18007,0
2006,18009,0
2006,18011,0
2006,18013,0
2006,18015,0
2006,18017,0
2006,18019,0
2006,18021,0
2006,18023,0
2006,18025,0
2006,18027,0
2006,18029,0
2006,18031,0
2006,18033,0
2006,18035,0
2006,18037,0
2006,18039,0
2006,18041,0
2006,18043,0
2006,18045,0
2006,18047,0
2006,18049,0
2006,18051,0
2006,18053,0
2006,18055,0
2006,18057,0
2006,18059,0
2006,18061,0
2006,18063,0
2006,18065,0
2006,18067,0
2006,18069,0
2006,18071,0
2006,18073,0
2006,18075,0
2006,18077,0
2006,18079,0
2006,18081,0
2006,18083,0
2006,18085,0
2006,18087,0
2006,18089,0
2006,18091,0
2006,18093,0
2006,18095,0
2006,18097,0
2006,18099,0
2006,18101,0
2006,18103,0
2006,18105,0
2006,18107,0
2006,18109,0
2006,18111,0
2006,18113,0
2006,18115,0
2006,18117,0
2006,18119,0
2006,18121,0
2006,18123,0
2006,18125,0
2006,18127,0
2006,18129,0
2006,18131,0
2006,18133,0
2006,18135,0
2006,18137,0
2006,18139,0
2006,18141,0
2006,18143,0
2006,18145,0
2006,18147,0
2006,18149,0
2006,18151,0
2006,18153,0
2006,18155,0
2006,18157,0
2006,18159,0
2006,18161,0
2006,18163,0
2006,18165,0
2006,18167,0
2006,18169,0
2006,18171,0
2006,18173,0
2006,18175,0
2006,18177,0
2006,18179,0
2006,18181,0
2006,18183,0
2006,18999,0
2006,19001,0
2006,19003,0
2006,19005,0
2006,19007,0
2006,19009,0
2006,19011,0
2006,19013,0
2006,19015,0
2006,19017,0
2006,19019,0
2006,19021,0
2006,19023,0
2006,19025,0
2006,19027,0
2006,19029,0
2006,19031,0
2006,19033,0
2006,19035,0
2006,19037,0
2006,19039,0
2006,19041,0
2006,19043,0
2006,19045,0
2006,19047,0
2006,19049,0
2006,19051,0
2006,19053,0
2006,19055,0
2006,19057,0
2006,19059,0
2006,19061,0
2006,19063,0
2006,19065,0
2006,19067,0
2006,19069,0
2006,19071,0
2006,19073,0
2006,19075,0
2006,19077,0
2006,19079,0
2006,19081,0
2006,19083,0
2006,19085,0
2006,19087,0
2006,19089,0
2006,19091,0
2006,19093,0
2006,19095,0
2006,19097,0
2006,19099,0
2006,19101,0
2006,19103,0
2006,19105,0
2006,19107,0
2006,19109,0
2006,19111,0
2006,19113,0
2006,19115,0
2006,19117,0
2006,19119,0
2006,19121,0
2006,19123,0
2006,19125,0
2006,19127,0
2006,19129,0
2006,19131,0
2006,19133,0
2006,19135,0
2006,19137,0
2006,19139,0
2006,19141,0
2006,19143,0
2006,19145,0
2006,19147,0
2006,19149,0
2006,19151,0
2006,19153,0
2006,19155,0
2006,19157,0
2006,19159,0
2006,19161,0
2006,19163,0
2006,19165,0
2006,19167,0
2006,19169,0
2006,19171,0
2006,19173,0
2006,19175,0
2006,19177,0
2006,19179,0
2006,19181,0
2006,19183,0
2006,19185,0
2006,19187,0
2006,19189,0
2006,19191,0
2006,19193,0
2006,19195,0
2006,19197,0
2006,1999,0
2006,19999,0
2006,20001,0
2006,20003,0
2006,20005,0
2006,20007,0
2006,20009,0
2006,20011,0
2006,20013,0
2006,20015,0
2006,20017,0
2006,20019,0
2006,20021,0
2006,20023,0
2006,20025,0
2006,20027,0
2006,20029,0
2006,20031,0
2006,20033,0
2006,20035,0
2006,20037,0
2006,20039,0
2006,20041,0
2006,20043,0
2006,20045,0
2006,20047,0
2006,20049,0
2006,20051,0
2006,20053,0
2006,20055,0
2006,20057,0
2006,20059,0
2006,20061,0
2006,20063,0
2006,20065,0
2006,20067,0
2006,20069,0
2006,20071,0
2006,20073,0
2006,20075,0
2006,20077,0
2006,20079,0
2006,20081,0
2006,20083,0
2006,20085,0
2006,20087,0
2006,20089,0
2006,20091,0
2006,20093,0
2006,20095,0
2006,20097,0
2006,20099,0
2006,20101,0
2006,20103,0
2006,20105,0
2006,20107,0
2006,20109,0
2006,20111,0
2006,20113,0
2006,20115,0
2006,20117,0
2006,20119,0
2006,20121,0
2006,20123,0
2006,20125,0
2006,20127,0
2006,20129,0
2006,2013,0
2006,20131,0
2006,20133,0
2006,20135,0
2006,20137,0
2006,20139,0
2006,20141,0
2006,20143,0
2006,20145,0
2006,20147,0
2006,20149,0
2006,20151,0
2006,20153,0
2006,20155,0
2006,20157,0
2006,20159,0
2006,2016,0
2006,20161,0
2006,20163,0
2006,20165,0
2006,20167,0
2006,20169,0
2006,20171,0
2006,20173,0
2006,20175,0
2006,20177,0
2006,20179,0
2006,20181,0
2006,20183,0
2006,20185,0
2006,20187,0
2006,20189,0
2006,20191,0
2006,20193,0
2006,20195,0
2006,20197,0
2006,20199,0
2006,2020,0
2006,20201,0
2006,20203,0
2006,20205,0
2006,20207,0
2006,20209,0
2006,2050,0
2006,2060,0
2006,2068,0
2006,2070,0
2006,2090,0
2006,20999,0
2006,2100,0
2006,21001,0
2006,21003,0
2006,21005,0
2006,21007,0
2006,21009,0
2006,21011,0
2006,21013,1230.21573
2006,21015,0
2006,21017,0
2006,21019,0
2006,21021,0
2006,21023,0
2006,21025,0
2006,21027,0
2006,21029,0
2006,21031,0
2006,21033,0
2006,21035,0
2006,21037,0
2006,21039,0
2006,21041,0
2006,21043,0
2006,21045,0
2006,21047,0
2006,21049,0
2006,21051,0
2006,21053,0
2006,21055,0
2006,21057,0
2006,21059,0
2006,21061,0
2006,21063,0
2006,21065,0
2006,21067,0
2006,21069,0
2006,21071,558.150077
2006,21073,0
2006,21075,0
2006,21077,0
2006,21079,0
2006,21081,0
2006,21083,0
2006,21085,0
2006,21087,0
2006,21089,0
2006,21091,0
2006,21093,0
2006,21095,1309.72631
2006,21097,0
2006,21099,0
2006,2110,0
2006,21101,0
2006,21103,0
2006,21105,0
2006,21107,0
2006,21109,0
2006,21111,0
2006,21113,0
2006,21115,220.9241583
2006,21117,0
2006,21119,2512.6437
2006,21121,0
2006,21123,0
2006,21125,16.12043695
2006,21127,0
2006,21129,0
2006,21131,0
2006,21133,1575.869008
2006,21135,0
2006,21137,0
2006,21139,0
2006,21141,0
2006,21143,0
2006,21145,0
2006,21147,0
2006,21149,0
2006,21151,0
2006,21153,0
2006,21155,0
2006,21157,0
2006,21159,2819.297093
